lat: 41.693424, lng: -84.797974 
lat: 39.138582, lng: -84.814453 
lat: 38.651198, lng: -83.616943
lat: 38.371809, lng: -82.507324
lat: 37.740313, lng: -82.323303
lat: 37.540222, lng: -81.960754
lat: 36.591274, lng: -83.693848
lat: 36.591274, lng: -87.991562
lat: 36.591274, lng: -88.044434
lat: 36.498597, lng: -88.044434
lat: 35.971338, lng: -89.780273
lat: 36.024113, lng: -90.245607
lat: 36.498597, lng: -90.251562
lat: 36.498597, lng: -94.617004 
lat: 37.83148, lng: -94.603271
lat: 37.874853, lng: -102.041016
lat: 36.993778, lng: -102.035522
lat: 37.002553, lng: -109.039307
lat: 41.00063, lng: -109.039307
lat: 40.996484, lng: -102.052002
lat: 40.002372, lng: -102.057495
lat: 39.998164, lng: -95.333862
lat: 40.588928, lng: -95.72937
lat: 40.611867, lng: -91.732407
lat: 40.375582, lng: -91.461182
lat: 40.394673, lng: -91.374664
lat: 40.559721, lng: -91.387024
lat: 40.674389, lng: -91.117859
lat: 40.979898, lng: -90.944824
lat: 41.244772, lng: -91.09314
lat: 41.551756, lng: -90.406494
lat: 41.983994, lng: -90.131836
lat: 42.5207, lng: -90.582275
lat: 42.123692, lng: -90.192261
lat: 42.50349, lng: -90.664673
lat: 42.496403, lng: -87.802734
lat: 41.689322, lng: -87.506104
