lat: 41.996243, lng: -114.070557
lat: 42.000325, lng: -124.321289
lat: 40.613952, lng: -124.321289
lat: 40.078071, lng: -124.233398
lat: 38.548165, lng: -123.310547
lat: 37.230328, lng: -122.34375
lat: 35.245619, lng: -120.9375
lat: 34.415973, lng: -120.629883
lat: 34.016242, lng: -118.959961
lat: 34.052659, lng: -118.498535
lat: 38.315801, lng: -119.025879
lat: 35.005253, lng: -114.635468
lat: 36.106815, lng: -114.738464
lat: 36.155618, lng: -114.375916
lat: 36.009117, lng: -114.216614
lat: 36.204391, lng: -114.051819
